date,tweets,image
2020-11-01 05:21:22,b'RT @Bidoofs: Tim Curry and Wilmer Valderama reading a sex scene together. Happy Halloween. #RockyHorrorLive https://t.co/8l39UZXFOq',http://pbs.twimg.com/media/EltMWMiWkAU9Tn4.jpg

2020-11-01 05:20:58,b'RT @Margit: Tim Curry \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f #RockyHorrorLive https://t.co/4yObtNL7fR',http://pbs.twimg.com/media/EltHMU6XUAA12K-.jpg

2020-11-01 05:20:55,b'RT @sigridellis: #RockyHorrorLive FYI he did have massive stroke in 2012 and is paralyzed\n\nAnd now they are ad-libbing like fucking champio\xe2\x80\xa6',none

2020-11-01 05:20:51,b'RT @Sydsydbizarre: Day 31: free day. My birthday. Last year I said I might make it my thing to draw a Lolita oc on my birthday. This year I\xe2\x80\xa6',none

2020-11-01 05:20:40,b'RT @JakeNiemeyer: Little Nell assisting Tim Curry through #RockyHorrorLive is equally heartbreaking and heartwarming. Both are treasures.',none

2020-11-01 05:20:31,b'RT @jruggiero86: Always good to see Tim! #RockyHorrorLive https://t.co/tTIhvXWBDC',http://pbs.twimg.com/media/EltFxRUVoAAmedz.jpg

2020-11-01 05:20:21,b'RT @shella_4711: This is the future liberals want. #RockyHorrorLive https://t.co/au4SazV6ed',http://pbs.twimg.com/media/EltWlT0XYAACdiv.jpg

2020-11-01 05:20:16,b'RT @GregoryGAllen: I love Nell &amp; Tim just going off script and making up lines. Love her for being such a great ensemble player and steppin\xe2\x80\xa6',none

2020-11-01 05:20:00,"b'RT @heidimiller: Tim Curry doing RPHS live after a stroke warms my heart. Too many actors play having a disability, but actors with actual\xe2\x80\xa6'",none

2020-11-01 05:19:36,"b'RT @Adara___: No need to say it, but Tim Curry is a legend. A true icon. Seeing him in #RockyHorrorLive is making me so happy and emotional\xe2\x80\xa6'",none

2020-11-01 05:19:35,"b'RT @Adara___: .@SethGreen as RIFF RAFF everyday, please and thank you. #RockyHorrorLive  @WisDems \xf0\x9f\x91\x84 https://t.co/iIUZ3qIa1y'",http://pbs.twimg.com/media/EltFgnwX0AEQhwK.jpg

2020-11-01 05:18:58,b'hey lolita hey',none

2020-11-01 05:15:51,b'@Lolita_TNIE @KARailway @KannadaPrabha @cpronammametro @srivasrbmrccoi1 @MoHUA_India @WFRising @WF_Watcher\xe2\x80\xa6 https://t.co/p7pDLQwPAN',none

2020-11-01 05:14:52,b'@lolita_bih @BijuuMike bruh the fandom literally makes fun of kotoko\xe2\x80\x99s trauma and no one points it out. always okay\xe2\x80\xa6 https://t.co/NHdW0IRnQ6',none

2020-11-01 05:13:12,b'@scoutvenus ME TOO \xf0\x9f\x98\x85\xf0\x9f\x98\x85\xf0\x9f\x98\x85 I\xe2\x80\x99ve been trying to find a damn maxi pad headdress and I can\xe2\x80\x99t bc nobody except me wants 2003 lolita aesthetics lmao',none

2020-11-01 05:11:23,b'RT @lilacjay2: Please sign this petition &amp; retweet. Lolita has spent 50 years in a tiny tank (illegally too small but nobody in power seems\xe2\x80\xa6',none

2020-11-01 05:10:37,b'@G0DV0RE_ lolita type beat',none

2020-11-01 05:10:21,"b""Art by the malbethbear they ship togafuka but they made this, ye I don't get it either #tokomaru #danganronpa #udg\xe2\x80\xa6 https://t.co/v4M0hxCJ57""",none

2020-11-01 05:10:06,b'Highschool Lacey boots giveaway!\nFlop=delete\n\n~Rules~\nFollow me (@robloxtingz4)\nLike and retweet with tags\nComment\xe2\x80\xa6 https://t.co/3xGLwhXAKc',none

2020-11-01 05:09:25,b'RT @hertzprung: halloween request #3: lieutenant tsurumi in gothic lolita for @schrikes \n\ngot a little carried away with this one. gotta pi\xe2\x80\xa6',none

